word,category,description,suggested_repetitions
COUNT,Money & Abundance,"A foundational money word — repeat when you want to draw in income, settle bills, or feel more in control of your finances.",9
BRING,Money & Abundance,"Use to call in opportunities, money, or resources that feel just out of reach.",9
GIVE,Money & Abundance,"Opens the flow of generosity and receiving — useful before donating, tipping, or asking for a raise.",9
RICH,Money & Abundance,A direct abundance booster — repeat while visualizing financial ease and security.,9
GOLD,Money & Abundance,"Associated with value, luxury, and self-worth — good for boosting confidence around money decisions.",9
ADD,Money & Abundance,"A multiplying word — use to increase whatever is already growing, including savings or income streams.",9
CASH FLOW,Money & Abundance,"Repeat when waiting on payments, invoices, or income that feels delayed.",9
ABUNDANCE,Money & Abundance,A broad prosperity word — use as a daily anchor for a mindset of 'enough and more.',9
PROFIT,Money & Abundance,"Best for entrepreneurs and freelancers before sales calls, pricing decisions, or launches.",9
BONUS,Money & Abundance,"Use when hoping for unexpected money — gifts, refunds, rebates, or surprise income.",9
RAISE,Money & Abundance,Repeat before salary negotiations or when seeking recognition for your work.,9
INVEST,Money & Abundance,Helpful before making financial decisions that require patience and long-term thinking.,9
SAVE,Money & Abundance,Supports discipline around spending and building a savings habit.,9
CIRCULATE,Money & Abundance,Reminds you that money is meant to move — useful when feeling stuck financially.,9
MAGNET,Money & Abundance,Use to feel like you're drawing money and opportunity toward you rather than chasing it.,9
OPEN,Money & Abundance,Clears blocks to receiving — good before checking your bank balance or opening mail.,9
FLOW,Money & Abundance,Encourages ease in income and expenses — use when finances feel rigid or tight.,9
SECURE,Money & Abundance,Calms financial anxiety and supports a sense of stability.,9
CLIENTS,Money & Abundance,For business owners — repeat to attract new customers or contracts.,9
SALES,Money & Abundance,"Use before pitches, listings, or marketing pushes to support momentum.",9
DEBT FREE,Money & Abundance,A motivational anchor for those working toward paying down balances.,9
WEALTH,Money & Abundance,A long-term abundance word — pairs well with gratitude practices.,9
FORTUNE,Money & Abundance,Use when hoping for a stroke of good financial luck.,9
VALUE,Money & Abundance,Helps you recognize and price your own work or products fairly.,9
EARN,Money & Abundance,Supports motivation and consistent effort toward income goals.,9
RECEIVE,Money & Abundance,Useful for people who find it easier to give than to accept help or money.,9
PAID,Money & Abundance,Repeat while waiting on outstanding payments or invoices to be settled.,9
BUDGET,Money & Abundance,Supports clarity and calm when reviewing or planning expenses.,9
OPPORTUNITY,Money & Abundance,"Use when job-hunting, networking, or open to new income paths.",9
GENEROUS,Money & Abundance,Shifts a scarcity mindset toward one of sufficiency and sharing.,9
THRIVE,Money & Abundance,A holistic word for financial and overall life growth.,9
LUCKY MONEY,Money & Abundance,Use before lottery-style or low-stakes chance-based situations.,9
STREAM,Money & Abundance,"Visualizes multiple, steady sources of income.",9
EQUITY,Money & Abundance,"Useful when working toward ownership, assets, or long-term financial goals.",9
DEAL,Money & Abundance,"Repeat before negotiations, purchases, or contract signings.",9
HARVEST,Money & Abundance,A seasonal abundance word — reaping rewards from past effort.,9
TREASURE,Money & Abundance,Use to feel a sense of hidden or untapped value in your situation.,9
PROSPER,Money & Abundance,"A steady, long-view word for sustainable financial growth.",9
REWARD,Money & Abundance,Use after completing a task to reinforce a sense of being recognized.,9
PLENTY,Money & Abundance,A simple anchor for the feeling of having more than enough.,9
TOGETHER,Love & Relationships,"A master word for unity — use to strengthen bonds, reconcile, or feel less alone.",9
LOVE,Love & Relationships,The most direct word for opening the heart — use for self-love or relational love.,9
CHARM,Love & Relationships,"Supports magnetism, attraction, and feeling at ease in romantic situations.",9
ADJUST,Love & Relationships,Use when working through compromise or adapting to a partner's needs.,9
REUNITE,Love & Relationships,For situations involving reconciliation or reconnecting with someone important.,9
BLUSH,Love & Relationships,Brings warmth and softness into a conversation — good before a heartfelt talk.,9
DEVOTION,Love & Relationships,Strengthens commitment and loyalty in a relationship.,9
HARMONY,Love & Relationships,Use when there's tension and you want to restore balance between people.,9
CHERISH,Love & Relationships,"Encourages appreciation for a partner, friend, or family member.",9
CONNECT,Love & Relationships,"Use before a date, call, or meeting where you want to build rapport.",9
SOULMATE,Love & Relationships,"For those seeking a deep, compatible romantic connection.",9
EMBRACE,Love & Relationships,Supports physical and emotional closeness.,9
FAITHFUL,Love & Relationships,Reinforces trust and loyalty within a partnership.,9
ROMANCE,Love & Relationships,Use to bring playfulness and spark back into a relationship.,9
COMPANION,Love & Relationships,Useful for those seeking friendship or partnership in life.,9
BLOOM,Love & Relationships,A gentle word for relationships that are growing and developing.,9
WARMTH,Love & Relationships,Use to soften a cold or distant dynamic with someone.,9
APPRECIATE,Love & Relationships,Helps notice and acknowledge the good in a relationship.,9
RECONCILE,Love & Relationships,For repairing rifts after an argument or misunderstanding.,9
INTIMACY,Love & Relationships,Supports emotional and physical closeness between partners.,9
ATTRACT,Love & Relationships,A general word for drawing in romantic interest or new connections.,9
KINDRED,Love & Relationships,Use when seeking people who feel like 'your people.',9
PATIENCE,Love & Relationships,Helps when waiting for a relationship to develop or heal at its own pace.,9
UNDERSTAND,Love & Relationships,Use before difficult conversations to support empathy on both sides.,9
GENTLE,Love & Relationships,Brings softness to how you speak and respond to a loved one.,9
FORGIVE,Love & Relationships,Releases resentment that may be blocking closeness.,9
WELCOME,Love & Relationships,Use when opening yourself up to new people or new chapters of a relationship.,9
DEAR,Love & Relationships,A tender word to bring warmth into how you think about someone.,9
FAMILY,Love & Relationships,Supports a feeling of belonging and closeness within family units.,9
FRIENDSHIP,Love & Relationships,Use to nurture platonic bonds and community.,9
LOYAL,Love & Relationships,Reinforces steadiness and trust in long-term relationships.,9
SPARK,Love & Relationships,Use to reignite excitement in a relationship that feels stagnant.,9
GRATEFUL FOR YOU,Love & Relationships,A short phrase to silently direct toward someone you appreciate.,9
OPEN HEART,Love & Relationships,Use before situations where vulnerability is needed.,9
MUTUAL,Love & Relationships,Supports balance and fairness in give-and-take within a relationship.,9
CLOSER,Love & Relationships,A simple word to draw two people emotionally nearer.,9
TRUST,Love & Relationships,Use when rebuilding confidence in a relationship after doubt.,9
SUPPORT,Love & Relationships,Reinforces the feeling of being there for one another.,9
SWEET,Love & Relationships,"A light, playful word for everyday affection.",9
UNITY,Love & Relationships,Use for couples or families working toward a shared goal.,9
HEAL,Healing & Health,"A broad, foundational word for physical or emotional recovery.",9
REVIVE,Healing & Health,Use to restore energy or function — often paired with naming a body part.,9
BALANCE,Healing & Health,"Supports equilibrium — useful for dizziness, hormones, or general wellness.",9
RESTORE,Healing & Health,"Use after illness, injury, or burnout to support a return to baseline.",9
RENEW,Healing & Health,"A refreshing word for cells, energy, or a sense of vitality.",9
STRENGTH,Healing & Health,Use during recovery or physical training to support resilience.,9
CALM,Healing & Health,Eases tension in the body and mind — useful before sleep or stressful events.,9
RELIEF,Healing & Health,Use during discomfort or pain to support a sense of easing.,9
BREATHE,Healing & Health,A grounding word for moments of anxiety or shallow breathing.,9
VITALITY,Healing & Health,Supports overall energy levels and zest for life.,9
IMMUNITY,Healing & Health,"Use during cold/flu season or when run down, to support the body's defenses.",9
DIGEST,Healing & Health,Supports digestive comfort — useful after heavy meals.,9
CIRCULATION,Healing & Health,Use for cold extremities or general blood-flow support.,9
REST,Healing & Health,A simple word to support recovery time and downtime.,9
RECOVER,Healing & Health,Use during the healing window after illness or surgery.,9
SOOTHE,Healing & Health,Calms irritation — physical or emotional.,9
REGENERATE,Healing & Health,Supports the body's natural repair processes.,9
CLARITY,Healing & Health,Use for mental fog or when needing a clear head for decisions.,9
ENERGIZE,Healing & Health,Use in the morning or during an afternoon slump.,9
NOURISH,Healing & Health,Supports a healthy relationship with food and nutrients.,9
DETOX,Healing & Health,Use during cleansing routines or to support the body's natural elimination.,9
FLEXIBLE,Healing & Health,Supports physical flexibility and ease of movement.,9
STEADY,Healing & Health,"Use for steadying nerves, hands, or blood pressure.",9
COMFORT,Healing & Health,A gentle word for emotional or physical discomfort.,9
REGULATE,Healing & Health,"Use for cycles, sleep patterns, or hormone balance.",9
WHOLE,Healing & Health,A holistic word for feeling complete and well in body and mind.,9
RELAX,Healing & Health,Use to release muscular or mental tension.,9
GROUND,Healing & Health,"Helps when feeling scattered, dizzy, or disconnected from the body.",9
LIGHT,Healing & Health,Supports a feeling of lightness — physically or emotionally.,9
EASE,Healing & Health,A versatile word for reducing friction in body or daily life.,9
REJUVENATE,Healing & Health,Use after fatigue to support a refreshed feeling.,9
PAIN FREE,Healing & Health,A direct phrase for moments of physical discomfort.,9
HYDRATE,Healing & Health,A reminder word to support proper hydration habits.,9
SLEEP WELL,Healing & Health,"Use before bed to support restful, uninterrupted sleep.",9
ALIGN,Healing & Health,"Supports posture, spine health, and overall bodily alignment.",9
RECHARGE,Healing & Health,Use during breaks to support a return of energy.,9
ENDURE,Healing & Health,Supports stamina during physically demanding periods.,9
MEND,Healing & Health,"Use for healing cuts, bruises, or minor injuries.",9
FRESH START,Healing & Health,Use when beginning a new health routine or habit.,9
BODY LOVE,Healing & Health,"Supports a kind, accepting relationship with your physical body.",9
RESILIENT,Healing & Health,A long-view word for bouncing back from setbacks.,9
SHIELD,Protection & Safety,Use to create a sense of energetic or emotional protection around yourself.,9
ARMOR,Protection & Safety,A strong protective word for high-pressure or hostile environments.,9
GUARD,Protection & Safety,"Use when traveling, walking alone, or entering unfamiliar situations.",9
SAFE,Protection & Safety,A simple grounding word for personal or family safety concerns.,9
CLEAR,Protection & Safety,"Use to mentally clear negativity from a space, situation, or interaction.",9
BOUNDARY,Protection & Safety,Supports healthy limits with people or situations that drain you.,9
WARD,Protection & Safety,Use for general protective intent around your home or belongings.,9
STEADFAST,Protection & Safety,Reinforces a sense of being unshaken by outside pressure.,9
SECURE,Protection & Safety,"Use for home, digital, or financial security concerns.",9
CLOAK,Protection & Safety,Use when wanting to feel low-profile or undisturbed in a crowd.,9
VIGILANT,Protection & Safety,Supports alertness without anxiety in unfamiliar situations.,9
ANCHOR,Protection & Safety,Use to feel steady and unmovable during chaotic moments.,9
FORTIFY,Protection & Safety,A strengthening word for resilience against ongoing stress.,9
REPEL,Protection & Safety,Use to mentally distance yourself from negativity or unwanted attention.,9
BUFFER,Protection & Safety,Helps create emotional distance from draining people or situations.,9
WATCHFUL,Protection & Safety,"Use when needing extra awareness, such as during travel.",9
CALM AUTHORITY,Protection & Safety,Supports a grounded presence in confrontational situations.,9
HOME SAFE,Protection & Safety,A travel phrase for safe departures and returns.,9
STAND FIRM,Protection & Safety,Use when needing to hold your ground in a difficult conversation.,9
RELEASE FEAR,Protection & Safety,Use when anxiety about safety is outweighing the actual risk.,9
PROTECT,Protection & Safety,"A general-purpose protective word for people, property, or plans.",9
DEFEND,Protection & Safety,Use when standing up for yourself or someone else.,9
SHELTER,Protection & Safety,A calming word for times you need to feel held and safe.,9
FIREWALL,Protection & Safety,"Use for digital security, privacy, or online safety concerns.",9
UNTOUCHABLE,Protection & Safety,Use to feel emotionally unaffected by criticism or negativity.,9
SAFE PASSAGE,Protection & Safety,A travel-focused phrase for journeys and commutes.,9
INVISIBLE,Protection & Safety,Use when wanting to avoid unwanted attention or conflict.,9
STRONGHOLD,Protection & Safety,Supports a feeling of having a safe base to return to.,9
DEFLECT,Protection & Safety,Use to let negativity or criticism pass without absorbing it.,9
GROUNDED SAFETY,Protection & Safety,A grounding phrase for moments of heightened anxiety about safety.,9
PEACEFUL HOME,Protection & Safety,"Use to support a calm, drama-free household environment.",9
BOLD,Confidence & Self-Esteem,"Use before situations requiring courage, like public speaking or interviews.",9
WORTHY,Confidence & Self-Esteem,Addresses feelings of not being 'enough' — supports self-worth.,9
CAPABLE,Confidence & Self-Esteem,Use before tasks that feel intimidating or new.,9
CONFIDENT,Confidence & Self-Esteem,A direct word for building self-assurance in any situation.,9
RISE,Confidence & Self-Esteem,Use when wanting to step into a bigger version of yourself.,9
VALUED,Confidence & Self-Esteem,Helps counter feelings of being overlooked or underappreciated.,9
EMPOWERED,Confidence & Self-Esteem,Use before decisions that require standing in your own authority.,9
SELF-RESPECT,Confidence & Self-Esteem,Supports honoring your own needs and limits.,9
BRAVE,Confidence & Self-Esteem,"Use when facing fear directly — interviews, conversations, performances.",9
STAND TALL,Confidence & Self-Esteem,A posture-and-mindset phrase for moments needing presence.,9
DESERVE,Confidence & Self-Esteem,Addresses guilt around receiving good things.,9
ENOUGH,Confidence & Self-Esteem,A short word to counter perfectionism and self-criticism.,9
RADIANT,Confidence & Self-Esteem,Use to feel more visible and self-assured in social settings.,9
ASSERTIVE,Confidence & Self-Esteem,"Use before conversations requiring clear, direct communication.",9
UNSTOPPABLE,Confidence & Self-Esteem,A motivational word for pushing through self-doubt.,9
PROUD,Confidence & Self-Esteem,Use to acknowledge your own achievements without minimizing them.,9
SELF-TRUST,Confidence & Self-Esteem,Supports decision-making without excessive second-guessing.,9
MAGNETIC,Confidence & Self-Esteem,Use before social events where you want to feel naturally engaging.,9
FEARLESS,Confidence & Self-Esteem,A strong word for facing high-stakes situations.,9
AUTHENTIC,Confidence & Self-Esteem,Supports showing up as yourself rather than performing for others.,9
VOICE,Confidence & Self-Esteem,Use when you need to speak up in a meeting or group setting.,9
RESILIENCE,Confidence & Self-Esteem,Supports bouncing back from criticism or rejection.,9
OWN IT,Confidence & Self-Esteem,A modern phrase for taking responsibility and pride in your work.,9
FRONT FOOT,Confidence & Self-Esteem,Use to feel proactive rather than reactive in a situation.,9
UNAPOLOGETIC,Confidence & Self-Esteem,Supports comfort with taking up space and having needs.,9
CENTERED,Confidence & Self-Esteem,Use to feel less swayed by others' opinions.,9
POISED,Confidence & Self-Esteem,"Supports composure under pressure, like interviews or exams.",9
LIMITLESS,Confidence & Self-Esteem,Use when self-imposed limits feel like the main obstacle.,9
SHINE,Confidence & Self-Esteem,"A light, energizing word for stepping into visibility.",9
STAND OUT,Confidence & Self-Esteem,"Use for auditions, interviews, or competitive situations.",9
SLEEP,Sleep & Rest,A direct word for falling asleep more easily.,9
DROWSY,Sleep & Rest,Use to gently encourage the body toward rest.,9
UNWIND,Sleep & Rest,Helps release the day's tension before bed.,9
QUIET MIND,Sleep & Rest,Use when racing thoughts are keeping you awake.,9
DEEP SLEEP,Sleep & Rest,Supports staying asleep through the night.,9
PEACEFUL NIGHT,Sleep & Rest,A broad phrase for an undisturbed night's sleep.,9
LET GO,Sleep & Rest,Use to release the need to keep 'doing' before sleep.,9
HEAVY EYES,Sleep & Rest,A sensory phrase to support the physical sensation of sleepiness.,9
DREAM WELL,Sleep & Rest,Use for those wanting more pleasant or restful dreams.,9
SWITCH OFF,Sleep & Rest,Helps transition from a busy day into rest mode.,9
RESTFUL,Sleep & Rest,"A general word for quality, restorative rest.",9
MORNING ENERGY,Sleep & Rest,Use upon waking to support feeling refreshed rather than groggy.,9
NAP,Sleep & Rest,Use before short daytime rest periods.,9
STILL,Sleep & Rest,Supports physical stillness when the body feels restless at night.,9
COZY,Sleep & Rest,A comfort-focused word for settling into bed.,9
WIND DOWN,Sleep & Rest,Use during evening routines to signal the body it's time to relax.,9
SLUMBER,Sleep & Rest,"A gentle, old-fashioned word for deep rest.",9
RECHARGE OVERNIGHT,Sleep & Rest,Use to support energy restoration during sleep.,9
EYES CLOSE,Sleep & Rest,A simple physical cue to support the process of falling asleep.,9
PEACE BEFORE SLEEP,Sleep & Rest,Use to release worries before bedtime.,9
FOCUS,Focus & Productivity,A direct word for concentration during work or study.,9
BEGIN,Focus & Productivity,Use to overcome procrastination and start a task.,9
DONE,Focus & Productivity,Use to support completion and follow-through on tasks.,9
ACT,Focus & Productivity,A motivational word for taking the first step on something.,9
ORGANIZE,Focus & Productivity,Supports clarity when facing a cluttered task list or space.,9
PRIORITIZE,Focus & Productivity,Use when overwhelmed by competing demands.,9
CONCENTRATE,Focus & Productivity,A study-focused word for sustained attention.,9
MOMENTUM,Focus & Productivity,Use to keep going once you've started a task.,9
DEADLINE,Focus & Productivity,Use when working against time constraints.,9
EFFICIENT,Focus & Productivity,"Supports streamlined, less wasteful work habits.",9
DECIDE,Focus & Productivity,Use when stuck between options and needing to move forward.,9
PRODUCTIVE,Focus & Productivity,"A general word for a focused, output-oriented mindset.",9
CLEAR DESK,Focus & Productivity,Use before starting work to mentally and physically declutter.,9
ON TASK,Focus & Productivity,Use to redirect attention back to the current priority.,9
DEEP WORK,Focus & Productivity,"Supports extended periods of focused, distraction-free work.",9
FINISH,Focus & Productivity,Use when a project is close to completion but motivation is fading.,9
STUDY,Focus & Productivity,A direct word for academic focus and retention.,9
PLAN,Focus & Productivity,Use before mapping out a project or your day.,9
STREAMLINE,Focus & Productivity,Supports simplifying overly complex tasks or processes.,9
STEADY PACE,Focus & Productivity,Use to avoid burnout during long projects.,9
CLARITY OF MIND,Focus & Productivity,Supports clear thinking before important decisions or work sessions.,9
DISCIPLINE,Focus & Productivity,Use for building consistent habits and routines.,9
NO DISTRACTIONS,Focus & Productivity,A direct phrase for minimizing interruptions during focused time.,9
FLOW STATE,Focus & Productivity,Use to support entering a state of effortless concentration.,9
TIME WELL SPENT,Focus & Productivity,"Supports intentional use of time, especially against procrastination.",9
SMALL STEPS,Focus & Productivity,Use when a large task feels overwhelming.,9
ACCOUNTABLE,Focus & Productivity,Supports follow-through on commitments to yourself or others.,9
REVIEW,Focus & Productivity,Use before checking work for errors or improvements.,9
WRAP UP,Focus & Productivity,Use when transitioning out of a task or workday.,9
RESET FOCUS,Focus & Productivity,Use mid-task when attention has drifted.,9
CLEAR,Forgiveness & Letting Go,Use to release the emotional residue of past events.,9
RELEASE,Forgiveness & Letting Go,"A direct word for letting go of grudges, guilt, or attachment.",9
FORGIVE,Forgiveness & Letting Go,Use toward yourself or others to ease the weight of past hurt.,9
LET GO,Forgiveness & Letting Go,"A simple, repeatable phrase for releasing what no longer serves you.",9
ABSOLVE,Forgiveness & Letting Go,Use when carrying guilt or self-blame.,9
UNTIE,Forgiveness & Letting Go,"Helps loosen emotional attachment to a person, place, or outcome.",9
MOVE ON,Forgiveness & Letting Go,Use when stuck replaying a past situation.,9
CLOSE THE CHAPTER,Forgiveness & Letting Go,Supports completion and closure after endings.,9
FREE,Forgiveness & Letting Go,Use for a sense of liberation from old patterns or relationships.,9
RELEASE RESENTMENT,Forgiveness & Letting Go,Use when anger toward someone is affecting your present.,9
EXHALE,Forgiveness & Letting Go,A breath-based phrase for releasing built-up tension.,9
UNBURDEN,Forgiveness & Letting Go,Use when carrying responsibility that isn't yours.,9
PEACE WITH PAST,Forgiveness & Letting Go,Supports acceptance of events that can't be changed.,9
DETACH,Forgiveness & Letting Go,Use to create healthy distance from an outcome or person.,9
CLEAN SLATE,Forgiveness & Letting Go,Use when starting fresh after a difficult period.,9
ACCEPT,Forgiveness & Letting Go,Supports making peace with things outside your control.,9
LIGHTEN,Forgiveness & Letting Go,Use to feel less emotionally weighed down.,9
SOFTEN,Forgiveness & Letting Go,"Helps ease a hardened stance toward someone, including yourself.",9
NO LONGER NEEDED,Forgiveness & Letting Go,"Use for habits, beliefs, or relationships that have run their course.",9
HEAL AND RELEASE,Forgiveness & Letting Go,A combined phrase for processing and letting go of pain.,9
THANK AND RELEASE,Forgiveness & Letting Go,Use to honor a lesson before letting go of the experience.,9
OPEN HANDS,Forgiveness & Letting Go,A visual phrase for releasing the need to control an outcome.,9
WASH AWAY,Forgiveness & Letting Go,Use to mentally clear residue from a difficult interaction.,9
FORGIVE MYSELF,Forgiveness & Letting Go,Use specifically for self-directed guilt or shame.,9
RELEASE THE GRIP,Forgiveness & Letting Go,Use when overthinking or obsessing over a situation.,9
EXPRESS,Communication & Expression,Use when struggling to articulate thoughts or feelings.,9
SPEAK,Communication & Expression,A direct word for public speaking or difficult conversations.,9
LISTEN,Communication & Expression,"Supports active, present listening in conversations.",9
CLARIFY,Communication & Expression,Use when a message has been misunderstood or is unclear.,9
HONEST,Communication & Expression,"Supports truthful, direct communication.",9
ARTICULATE,Communication & Expression,Use before presentations or interviews.,9
DIPLOMATIC,Communication & Expression,Helps navigate sensitive topics with tact.,9
RESPOND,Communication & Expression,Use when wanting to react thoughtfully rather than reactively.,9
CONVERSATION,Communication & Expression,"A general word for easier, more natural social exchanges.",9
WRITE,Communication & Expression,"Use before writing emails, essays, or creative work.",9
